the cougars	bn:01345595n
south and east	
north and south	bn:03808251n,bn:03651984n,bn:03876278n,bn:03228581n,bn:01748093n,bn:03277508n,bn:16113426n
west and south	
east and west	bn:00769012n,bn:03606903n
closer cooperation	
friendship	bn:03707809n,bn:01404834n,bn:00036545n,bn:03861373n,bn:02818578n,bn:14509431n,bn:02440420n,bn:02591165n,bn:01286367n,bn:02228238n,bn:00595602n,bn:00188706n,bn:00175418n,bn:01950404n,bn:00591346n,bn:01479073n,bn:00292785n,bn:01084287n,bn:01876701n,bn:03489619n,bn:16497812n,bn:00921120n
trade agreement	bn:15052888n
relation	bn:00066995n,bn:00066996n,bn:00066997n,bn:00066998n,bn:00064752n,bn:00045161n,bn:14568606n,bn:03307992n,bn:03893180n,bn:01697591n,bn:00016124n,bn:16293477n,bn:00000991n,bn:00066593n,bn:14410550n,bn:02545645n,bn:01221619n
coordination	bn:00022465n,bn:00022466n,bn:00022463n,bn:00022464n,bn:02670898n,bn:00022457n,bn:15031410n,bn:00021883n
tie	bn:00212199n,bn:00077210n,bn:00077211n,bn:00051401n,bn:01845119n,bn:00077208n,bn:00057149n,bn:00001755n,bn:00077209n,bn:00996621n,bn:00832634n,bn:00024019n,bn:03776185n,bn:00028625n
bilateral trade	bn:03799484n
trade relations	
pact	bn:00809744n,bn:00000728n,bn:14705260n,bn:01478249n,bn:13808098n
negotiation	bn:00057210n,bn:00026838n,bn:03765303n
military ties	
close cooperation	
cooperation	bn:00022452n,bn:00022453n,bn:00971441n,bn:03258488n
border	bn:00729743n,bn:14779058n,bn:03279113n,bn:00012212n,bn:00012213n,bn:00012214n,bn:00012215n,bn:00012216n,bn:03336864n
bilateral relations	bn:03174216n
rapprochement	bn:00066194n
co-operation	bn:00022452n,bn:03258488n
cooperation agreement	
strained relations	bn:03561140n
friendly relations	
close ties	
co-ordination	
economic ties	
friendly ties	
economic cooperation	
close relations	bn:00596376n
peace	bn:15806090n,bn:00061150n,bn:02771068n,bn:01072662n,bn:00292002n,bn:00531430n,bn:16025920n,bn:16965414n,bn:00060095n,bn:00833797n,bn:00006701n,bn:03057416n,bn:02332741n,bn:00061149n,bn:00827649n,bn:17259077n,bn:14345638n,bn:01665978n,bn:01569150n,bn:00643101n,bn:00061151n,bn:00491035n,bn:01997074n,bn:16577917n,bn:01705956n
strategic partnership	bn:00774563n
diplomatic ties	bn:00027281n
improving relations	
trade ties	
economic relations	
the ties	
bilateral cooperation	
economic and trade cooperation	
cooperative relations	
ties	bn:13746095n
dialogue	bn:09707009n,bn:14965299n,bn:15498717n,bn:00232883n,bn:09589068n,bn:01924580n,bn:00026838n,bn:00181710n,bn:13841700n,bn:16741436n,bn:03755447n,bn:02006132n,bn:01246790n,bn:16754165n,bn:00026834n,bn:00026835n,bn:00026836n
the dialogue	
solidarity	bn:01214035n,bn:03328847n,bn:00128025n,bn:15771235n,bn:03237985n,bn:02470275n,bn:02766290n,bn:01247576n,bn:01398417n,bn:00048335n,bn:16193881n,bn:03249666n,bn:00072727n,bn:13921101n,bn:03538030n,bn:02251637n
closer ties	
improve relations	
trade and investment	
reconciliation	bn:00847913n,bn:03146602n,bn:00066194n,bn:01606752n,bn:00784541n,bn:00061149n,bn:00819209n,bn:02435938n,bn:00639544n,bn:00008066n
diplomatic relations	bn:00027281n,bn:01310164n
trade	bn:00077861n,bn:03454163n,bn:00077860n,bn:02838130n,bn:00023498n,bn:03633204n,bn:00008735n,bn:03492781n,bn:01254510n,bn:00223988n,bn:00061050n,bn:00014152n,bn:15857890n,bn:00023496n
good relations	bn:03040203n
the relations	
trade volume	
relations	bn:00208432n,bn:00025569n,bn:00045161n,bn:00000991n
gypsy	bn:16853625n,bn:01941268n,bn:03497690n,bn:00863378n,bn:03515005n,bn:03805686n,bn:01186917n,bn:00040526n,bn:16561887n,bn:01487150n,bn:00042357n,bn:01877404n,bn:13831126n,bn:00910960n,bn:03342167n,bn:00259467n,bn:03893066n,bn:17279833n,bn:00803569n,bn:02005723n,bn:00755370n,bn:17245403n,bn:00239727n,bn:02390695n,bn:00262168n,bn:02364086n,bn:02688947n,bn:00974954n,bn:00886696n,bn:17205574n,bn:00011815n,bn:01934669n
the palestinians	
sunni arabs	bn:00075215n
muslim	bn:00055975n,bn:02794369n
christianity	bn:00018814n,bn:00018828n
moslems	bn:00055975n
palestinians	bn:00060277n
minority	bn:00055209n,bn:01078425n,bn:00055208n,bn:00055210n,bn:02997035n
atheist	bn:00006724n,bn:00006726n,bn:03318917n
kurds	bn:00049493n
shiite	bn:00071051n
christian	bn:02381678n,bn:03189852n,bn:16349543n,bn:03180864n,bn:16878673n,bn:00423706n,bn:16597461n,bn:02602856n,bn:14108518n,bn:00037764n,bn:00018818n,bn:00018828n,bn:01060105n,bn:03333146n
clergy	bn:00019726n
muslims	bn:00055975n,bn:03238986n
orthodox	bn:15940403n,bn:00317472n,bn:01916613n,bn:16995509n
jew	bn:02275054n,bn:00043492n,bn:00431718n,bn:00043489n
iraqi kurds	bn:00047452n
ethnic albanians	bn:02289320n
christians	bn:00018818n,bn:02503354n,bn:00018828n
sikhs	bn:00071567n,bn:14671740n
hindus	bn:00044181n,bn:15778133n,bn:00044178n
catholics	bn:00501439n,bn:00016777n,bn:02724781n
anglicans	bn:00004142n
roman catholics	bn:00016777n
albanian	bn:00002440n,bn:00002441n,bn:16971177n,bn:00170940n,bn:02255959n
monk	bn:03178954n,bn:00134087n,bn:01486008n,bn:15524805n,bn:02274278n,bn:00055683n,bn:14060819n,bn:01922744n,bn:00055630n,bn:01922743n,bn:01922741n,bn:03158151n,bn:01922740n,bn:03172744n,bn:01807005n,bn:17198213n,bn:01922739n,bn:00593992n,bn:00546329n,bn:01922738n,bn:01102942n,bn:01922736n,bn:01922735n,bn:02968552n
baptist	bn:00008459n,bn:00008458n
the muslims	
the kurds	
albanians	bn:00002439n,bn:02289320n
israel	bn:03134193n,bn:00047679n,bn:00047849n,bn:03435850n,bn:02090128n,bn:00775142n,bn:01522020n,bn:02691888n,bn:02022470n,bn:15102621n,bn:02823801n,bn:03477074n,bn:00961357n,bn:00047680n
the jews	bn:00043492n
catholic	bn:02567798n,bn:16969984n,bn:00016777n,bn:00016776n
protestant	bn:00064866n,bn:00064865n,bn:00064869n
religious groups	bn:03791528n
opening stand	
median age	bn:03886845n
iq	bn:01714290n,bn:00586178n,bn:03815224n,bn:03510119n,bn:00045677n,bn:01645762n,bn:00519481n,bn:01600354n
previous record	
toll	bn:00077525n,bn:14198816n,bn:00022997n,bn:00009729n,bn:00000746n,bn:00077519n
young age	bn:00001936n,bn:00076979n
death at the age	
old age	bn:02378366n,bn:14677217n,bn:00001940n
wicket partnership	
average age	
the death toll	
the vote	bn:15648015n
age	bn:00001936n,bn:03633526n,bn:00001937n,bn:00001938n,bn:02647204n,bn:00001939n,bn:02475111n,bn:01940876n,bn:00001940n,bn:14592596n,bn:14465795n,bn:00076588n,bn:02104510n,bn:03716014n,bn:15938514n,bn:16875572n,bn:17335328n,bn:00030069n
highest score	
right fielder	bn:00067825n
first baseman	bn:00034758n
ace	bn:03317818n,bn:03616902n,bn:03284048n,bn:00131777n,bn:14368749n,bn:00584320n,bn:00300733n,bn:03776438n,bn:00000791n,bn:03732715n,bn:03293963n,bn:03648519n,bn:00851864n,bn:02632845n,bn:02792511n,bn:00213010n,bn:02794871n,bn:01636839n,bn:03601471n,bn:00010098n,bn:03886562n,bn:00000005n,bn:16337018n,bn:03410796n,bn:00499127n,bn:03750435n,bn:01062906n,bn:00000792n,bn:14458194n,bn:00000790n,bn:02442464n,bn:00598019n,bn:14327812n,bn:10881865n,bn:00000789n,bn:01391434n,bn:03821125n,bn:03732692n,bn:00000793n,bn:03728375n,bn:16672261n,bn:03874707n,bn:00032322n
baseman	bn:13763792n
outfielder	bn:00059773n,bn:00059774n
catcher	bn:00007828n,bn:00016711n
cleanup hitter	bn:03890635n
fielder	bn:00034332n,bn:00034333n,bn:01547560n,bn:03103561n
left fielder	bn:00050533n
right-handed reliever	
baseball player	bn:00008205n,bn:00008804n,bn:09838588n
all-star	bn:03603242n
slugger	bn:00009052n,bn:00072200n
reliever	bn:00007837n,bn:00034698n,bn:00002811n
relief pitcher	bn:02756333n,bn:00034698n
pinch-hitter	bn:00062466n
shortstop	bn:00199228n,bn:00071276n,bn:00071243n
leadoff	bn:01490855n
pinch hitter	bn:00062466n,bn:00072200n
former teammate	
hitter	bn:00044291n,bn:00009052n
pitcher	bn:00056065n,bn:00062654n,bn:00062655n,bn:00032067n,bn:00045278n
free agent	bn:03662424n,bn:17254878n,bn:01913471n,bn:01579700n,bn:00036342n,bn:00036341n,bn:02635106n
starting pitcher	bn:00073998n
pitching coach	bn:00009074n,bn:00062661n,bn:00008810n
infielder	bn:00046660n
designated hitter	bn:00026541n
pinch	bn:01142363n,bn:02200841n,bn:03459061n,bn:03330951n,bn:00589181n,bn:00057757n,bn:00005136n,bn:02756516n,bn:00044195n,bn:00030525n,bn:01350835n,bn:00062464n,bn:00062463n,bn:00062462n,bn:03833406n
right-handed pitcher	bn:00067816n
leadoff hitter	bn:02005653n
starter	bn:02973611n,bn:00031048n,bn:00073992n,bn:14836351n,bn:00023549n,bn:03325168n,bn:00005048n,bn:00073994n,bn:00027649n,bn:03654721n,bn:00073993n
leadoff man	
right-hander	bn:00067817n,bn:00067816n
third baseman	bn:00076954n
rookie	bn:02924009n,bn:00024243n
pinch runner	bn:00256828n
second baseman	bn:00070114n
center fielder	bn:00017140n
lefty	bn:14498271n,bn:00050526n,bn:01834086n,bn:01038215n,bn:03719627n,bn:03396439n,bn:00050529n
righthander	bn:00067817n
utility player	bn:00382101n
time working	
get a job	bn:17083267n,bn:02177343n,bn:00143230n,bn:13904903n,bn:02292190n
took a position	
i worked	
began work	
landed a job	
moonlight	bn:00259629n,bn:02803721n,bn:01592564n,bn:00323295n,bn:00117936n,bn:14366326n,bn:02532733n,bn:15766088n,bn:00055811n,bn:03636538n
joined the staff	
began working	
found work	
he started his career	
i work	
take a job	
found a job	bn:01224184n
act	bn:14614488n,bn:03700747n,bn:02359335n,bn:03708526n,bn:03705806n,bn:00001079n,bn:00025804n,bn:03462937n,bn:00001076n,bn:00001077n,bn:00001078n,bn:03605027n,bn:02643879n,bn:00001080n
later worked	
first worked	
working	bn:03201829n,bn:03264056n,bn:01720986n,bn:02653369n,bn:00081600n
stint	bn:00031469n,bn:00074310n,bn:00074311n
started working	
work	bn:03074655n,bn:00405500n,bn:17212776n,bn:00157422n,bn:00081581n,bn:15338434n,bn:10723124n,bn:00081569n,bn:00014138n,bn:00490227n,bn:16427360n,bn:00062309n,bn:00030625n,bn:00011767n,bn:01226676n,bn:00894737n,bn:02968850n,bn:02814948n,bn:15241750n,bn:00314548n,bn:17177879n,bn:01921517n,bn:00696158n,bn:01591644n,bn:15698870n,bn:00702561n,bn:00081570n,bn:00074791n,bn:00081568n,bn:01807025n,bn:16570740n,bn:00030616n
took a job	
started work	
lost his job	
got a job	
going to work	
find work	
went to work	
czechoslovakia	bn:00024933n,bn:02596623n,bn:16883088n
republic	bn:03447955n,bn:00316590n,bn:00021207n,bn:03222439n,bn:00853212n,bn:00522350n,bn:15535768n,bn:00937294n,bn:01765263n,bn:00847667n,bn:00487238n,bn:00503576n,bn:03446569n,bn:00583164n,bn:00377008n,bn:01886255n,bn:00067223n,bn:00129954n,bn:03756292n,bn:00800974n,bn:01361377n,bn:01311088n,bn:00277529n
poland	bn:02067654n,bn:02014195n,bn:00152380n,bn:00585123n,bn:16570069n,bn:03357057n,bn:17309644n,bn:00063279n,bn:03477365n,bn:03506699n,bn:02062240n
bulgaria	bn:00535184n,bn:03211576n,bn:00013756n,bn:16924426n,bn:02591576n,bn:02025477n,bn:00849537n,bn:00643486n,bn:00880273n
portugal	bn:00581267n,bn:00904906n,bn:16228138n,bn:00660519n,bn:00063689n,bn:11886761n
romania	bn:00068196n,bn:00653795n,bn:03433139n
hungary	bn:00586608n,bn:17124602n,bn:00045228n,bn:00791070n
denmark	bn:00293289n,bn:00592134n,bn:00551333n,bn:00437613n,bn:00025196n,bn:02530182n,bn:00163923n,bn:01866160n,bn:02696085n,bn:00543527n
greece	bn:00556864n,bn:01953199n,bn:03863118n,bn:00041629n,bn:00030401n,bn:16690380n
russia	bn:14198656n,bn:00068619n,bn:03452280n,bn:01431239n,bn:00487323n,bn:14166670n,bn:00068620n,bn:00436518n,bn:00372968n,bn:00068622n,bn:00068621n
estonia	bn:00031658n,bn:00532234n,bn:03797442n,bn:03518909n,bn:03561615n,bn:00271916n,bn:00586624n,bn:00302788n,bn:03312751n
latvia	bn:00586548n,bn:00050191n
luxembourg	bn:03524109n,bn:00910129n,bn:02923475n,bn:01262487n,bn:00015570n,bn:15763371n,bn:03148872n,bn:03502338n,bn:00041328n,bn:00560143n,bn:01031077n
kazakhstan	bn:00326025n,bn:16481708n,bn:00048861n
cyprus	bn:00663959n,bn:02803862n,bn:00663928n,bn:00535186n,bn:00524580n,bn:13842911n,bn:16392399n,bn:14524704n,bn:03364045n,bn:00663967n,bn:10775348n,bn:00024868n,bn:00652390n,bn:03792116n,bn:02915401n,bn:00024869n
slovakia	bn:00586716n,bn:00072229n,bn:01904590n
uzbekistan	bn:00067238n
slovenia	bn:00067230n,bn:00586679n,bn:00072231n
azerbaijan	bn:02375767n,bn:02362237n,bn:03480817n,bn:00007568n,bn:03771600n
the czech republic	bn:00024932n
iceland	bn:00522481n,bn:00045749n,bn:01617195n,bn:03212570n,bn:03166974n,bn:00045750n
armenia	bn:00273828n,bn:02063704n,bn:14917678n,bn:00597091n,bn:15122634n,bn:02379479n,bn:03840494n,bn:02048787n,bn:03675477n,bn:00005738n,bn:16414541n,bn:03724093n,bn:00549544n,bn:15893901n
turkey	bn:00681373n,bn:00048391n,bn:16323623n,bn:00011919n,bn:00040870n,bn:00561950n,bn:00054243n,bn:00038657n,bn:00067236n,bn:00074670n,bn:00078638n
ukraine	bn:00078872n,bn:03108694n,bn:14964087n,bn:03090428n
austria	bn:03494215n,bn:03712174n,bn:00535175n,bn:03494216n,bn:01869968n,bn:02207554n,bn:01758575n,bn:00007266n
electrician	bn:00030191n,bn:14130558n,bn:03558612n
artisan	bn:01634187n,bn:00006157n,bn:03298533n,bn:01706536n
craftsman	bn:00023503n,bn:03224871n,bn:00006157n,bn:01289794n,bn:00023505n,bn:00165354n
mechanic	bn:00052573n,bn:00007312n,bn:00926336n
migrant workers	bn:01249744n
technician	bn:00076338n,bn:00076339n,bn:03127297n
baker	bn:00008013n,bn:00008012n,bn:00865869n,bn:00412352n,bn:00911750n,bn:00151216n,bn:02079375n,bn:00285502n,bn:00383371n,bn:01656257n,bn:02475660n
gardener	bn:01399273n,bn:14421079n,bn:00037329n,bn:00037328n,bn:14705143n,bn:00037300n,bn:00037332n
carpenter	bn:00332460n,bn:03183840n,bn:00016191n,bn:00549128n,bn:14215963n,bn:02079410n,bn:01127709n,bn:00267292n,bn:03555039n,bn:01600115n,bn:00016203n
clerk	bn:00019736n,bn:00019735n,bn:02140543n,bn:00077776n,bn:02682149n,bn:01338672n,bn:02984224n
plumber	bn:00063086n,bn:00667679n,bn:00062576n
builder	bn:17121515n,bn:00013719n,bn:03526998n,bn:03328413n,bn:00013720n,bn:00013721n
salesman	bn:00053479n,bn:03636324n,bn:00068929n,bn:00068933n
barber	bn:14160578n,bn:00042550n,bn:00008534n,bn:00008533n
potter	bn:02231355n,bn:02322575n,bn:00392252n,bn:01250171n,bn:16374482n,bn:00017269n
laborer	bn:00047795n
the saturday	
saturday	bn:13895112n,bn:14714150n,bn:02149883n,bn:01045391n,bn:00068696n,bn:01061073n,bn:02505538n,bn:15071908n,bn:01795485n,bn:15497132n,bn:03354380n,bn:03833911n,bn:00839879n,bn:00147203n,bn:01751507n,bn:03627723n
saturdays	
p.m. saturdays	
weekday	bn:00080815n
thursday	bn:00232123n,bn:16982223n,bn:00076744n,bn:00617002n,bn:02016642n,bn:00422016n,bn:02634370n,bn:02510982n
admission	bn:00001462n,bn:00001460n,bn:00001461n,bn:00000661n,bn:17342519n
saturdays and sundays	
p.m.	bn:01389062n,bn:13974626n
mondays	bn:00055609n
fridays	bn:00169012n
sunday	bn:02445631n,bn:00010451n,bn:03278442n,bn:02214685n,bn:15221329n,bn:03027531n,bn:00868768n,bn:00328926n,bn:02416971n,bn:00868668n,bn:00028190n,bn:15158773n,bn:17106388n,bn:02806606n,bn:00520784n,bn:03500745n,bn:03721980n,bn:02118363n,bn:14431293n,bn:02469949n,bn:02132977n,bn:02102417n,bn:02502336n,bn:00874618n
tuesday	bn:00078546n,bn:03363864n,bn:01456403n,bn:01839053n,bn:02555561n,bn:03808747n,bn:02514041n,bn:01323731n,bn:13814105n,bn:00265536n
sundays	bn:00028190n,bn:00502739n
saturday mornings	
weeknight	bn:00080822n
thursdays	bn:00076744n
tuesdays	bn:00078546n
friday	bn:00937942n,bn:02198754n,bn:00036512n,bn:02470759n,bn:03425318n,bn:00040538n,bn:01749999n,bn:02574277n,bn:03291427n,bn:00137884n,bn:16295533n,bn:02964038n,bn:03490574n,bn:01894627n,bn:00763584n
p.m. wednesdays	
wednesday	bn:15907580n,bn:00054897n,bn:01780241n,bn:02519588n,bn:00524671n
monday-friday	
fridays and saturdays	
monday	bn:02225036n,bn:00055609n,bn:17106384n,bn:02098878n,bn:00336045n,bn:02828476n
chamber music	bn:01443860n,bn:03658429n,bn:01649272n,bn:01939510n,bn:03777557n,bn:01404148n,bn:00017585n,bn:02455138n,bn:03571118n
banjo	bn:00742158n,bn:01758021n,bn:01246224n,bn:03310720n,bn:01179733n,bn:00008361n,bn:00170437n,bn:00698063n,bn:16793463n,bn:02799666n
trombone	bn:00078389n
saxophone	bn:00069426n
drum	bn:00028894n,bn:01575346n,bn:00028891n,bn:00028892n,bn:00028893n,bn:02267024n,bn:15180230n,bn:03572102n,bn:00012717n,bn:01788463n,bn:01732411n,bn:03771257n,bn:00008692n,bn:01089356n,bn:02732553n,bn:02340013n,bn:03093086n,bn:14449791n,bn:03374047n
mandolin	bn:03082746n,bn:03256692n,bn:00053162n
trio	bn:03157762n,bn:00259823n,bn:00868671n,bn:01354556n,bn:00687732n,bn:01977903n,bn:00078196n,bn:01669104n,bn:03485332n,bn:02845409n,bn:00592827n,bn:02864244n,bn:00078314n,bn:14905842n,bn:03743052n,bn:00078313n,bn:00000100n,bn:02742521n,bn:00692473n,bn:00077051n
piano	bn:03145733n,bn:01991157n,bn:00035986n,bn:00062202n,bn:15720205n,bn:00775674n,bn:02598746n
orchestra	bn:02683900n,bn:00059285n,bn:00059286n
the orchestra	bn:03595753n
harpsichord	bn:00017079n
percussion	bn:00061526n,bn:00061527n,bn:00061528n,bn:00061531n,bn:00061529n,bn:03530856n
bass guitar	bn:01578843n,bn:00008923n
instrumentation	bn:00046980n,bn:00046981n,bn:00046979n,bn:00046978n,bn:03244720n,bn:00239958n
verse	bn:15059316n,bn:00079822n,bn:02505851n,bn:00166215n,bn:00326657n,bn:01325344n,bn:01926305n,bn:00067680n,bn:00063195n,bn:14506907n
the organ	bn:01587440n,bn:15948961n,bn:02349412n
viola	bn:01521413n,bn:00567761n,bn:03182414n,bn:03417538n,bn:00556375n,bn:00054351n,bn:16825843n,bn:03044022n,bn:03585649n,bn:00496399n,bn:03502869n,bn:00080033n,bn:00080032n,bn:09437265n,bn:02124481n,bn:00040084n,bn:01465556n,bn:03278396n,bn:01463014n,bn:00208418n,bn:00065306n,bn:01731236n
accordion	bn:00236187n,bn:00000732n,bn:00857385n,bn:03641201n
violin	bn:02995243n,bn:02411341n,bn:00034250n,bn:02855522n
lead vocals	bn:03464733n
aria	bn:02440646n,bn:10229765n,bn:02286740n,bn:00959165n,bn:01522954n,bn:15803116n,bn:01360644n,bn:03084066n,bn:14319024n,bn:00884543n,bn:03119712n,bn:10144881n,bn:10833478n,bn:03738057n,bn:14114182n,bn:01286646n,bn:03793217n,bn:01974361n,bn:00766890n,bn:01903027n,bn:00005624n,bn:01610927n,bn:02264721n,bn:01582747n,bn:02181087n,bn:03170030n,bn:01657864n,bn:16179824n
backing vocals	bn:00149396n
whistle	bn:00081043n,bn:00081042n,bn:16493712n,bn:02473153n,bn:00081044n,bn:15556937n,bn:00081041n,bn:01318562n,bn:03371311n,bn:00061399n,bn:03766496n,bn:03654801n,bn:14996708n,bn:16485624n,bn:03390933n,bn:03411819n,bn:14923863n
chamber orchestra	bn:00059285n,bn:00017587n
brass	bn:00012789n,bn:03448131n,bn:00011850n,bn:00012792n,bn:00001423n,bn:00478219n,bn:02419749n,bn:00012793n,bn:00012790n,bn:00012791n,bn:01927624n,bn:02417431n
horn	bn:02359112n,bn:03343567n,bn:01464875n,bn:00044774n,bn:00403993n,bn:00044778n,bn:00044776n,bn:00022750n,bn:00491444n,bn:00044781n,bn:03482187n,bn:00044779n,bn:03523236n,bn:03390271n,bn:00036444n,bn:00007377n,bn:00044777n,bn:00044775n,bn:02602243n,bn:00403965n,bn:02423212n,bn:00044780n,bn:01131052n,bn:15795194n,bn:17183232n
trumpet	bn:00022750n,bn:03364350n,bn:00346100n,bn:00661683n,bn:15065808n,bn:00047062n
tuba	bn:03063438n,bn:01418513n,bn:02783176n,bn:00008924n,bn:02732163n,bn:01279304n,bn:00325257n,bn:14578844n
soloist	bn:13917587n,bn:00072749n,bn:01005757n
fiddle	bn:02192039n,bn:00034250n
acoustic guitar	bn:00000975n,bn:03750695n,bn:00698962n
organ	bn:00059459n,bn:00059458n,bn:01232963n,bn:00059460n,bn:17308951n,bn:00043028n,bn:00059461n,bn:00808669n,bn:00030157n,bn:01929504n
synthesizer	bn:00075744n,bn:03875696n,bn:00075745n
electric guitar	bn:15902487n,bn:00030148n,bn:00853099n
harp	bn:00043043n,bn:02116516n,bn:00043021n,bn:00862142n,bn:16347658n,bn:01197427n,bn:15143728n,bn:02846373n,bn:02434872n,bn:00043044n
vocal	bn:14518732n,bn:00080173n,bn:00072794n
ensemble	bn:00030962n,bn:00030961n,bn:03090113n,bn:00022822n,bn:03413787n,bn:00143649n,bn:00030964n,bn:00030963n
instrument	bn:16454909n,bn:15816209n,bn:01217228n,bn:00046964n,bn:00046965n,bn:00046962n,bn:00046963n,bn:02528806n,bn:00016612n,bn:00046961n
lead guitar	bn:03192417n
percussionist	bn:00061532n
double bass	bn:00008922n
clarinet	bn:03422459n,bn:00019455n
keyboard	bn:00019614n,bn:03483744n,bn:02213792n,bn:00049005n,bn:00049006n,bn:00049008n,bn:01956047n,bn:00021482n,bn:16289531n
background vocals	bn:00149396n
musical instruments	bn:02360075n,bn:00046965n
string quartet	bn:01463160n,bn:02992645n,bn:17004250n,bn:03884219n,bn:00074691n,bn:02738064n,bn:03325176n,bn:01661759n,bn:03857472n,bn:15905816n,bn:15188422n,bn:17004603n,bn:14289313n,bn:00317452n,bn:02071300n
pipe organ	bn:00059461n
alto saxophone	bn:00003152n
rhythm guitar	bn:02014173n
solo	bn:00930845n,bn:00072745n,bn:06527689n,bn:14834557n,bn:02417805n,bn:03894850n,bn:10148792n,bn:13916327n,bn:14320088n,bn:13877192n,bn:16774789n,bn:15406413n,bn:00570951n,bn:00072746n,bn:01868426n,bn:03675782n,bn:11716112n,bn:14221682n,bn:00816046n,bn:02877823n,bn:14791374n,bn:16071700n,bn:16547173n,bn:16323940n,bn:15859570n,bn:01545497n,bn:03650675n,bn:03327575n,bn:02183924n,bn:01686186n,bn:15755761n,bn:03219789n,bn:03435359n,bn:03438698n,bn:01633597n,bn:14389127n,bn:00072744n,bn:14506557n,bn:00864906n,bn:00375828n,bn:14556176n,bn:15663327n,bn:15794531n,bn:17329956n,bn:03074200n,bn:01890978n,bn:03304639n,bn:02751402n,bn:01029573n,bn:01957928n,bn:02257805n,bn:15380116n,bn:15726007n,bn:16248893n,bn:17146077n,bn:03335303n,bn:15912198n,bn:03895551n
sax	bn:03443152n,bn:00763536n,bn:00069426n,bn:00001486n,bn:15343068n
tenor saxophone	bn:00076538n
guitar	bn:00281486n,bn:02014173n,bn:01457834n,bn:02728299n,bn:01861264n,bn:00042150n,bn:02008610n
flute	bn:00035478n,bn:03339185n,bn:03772847n,bn:00035477n,bn:00024648n,bn:00017608n,bn:00550723n,bn:00985873n
bass	bn:00008916n,bn:00008915n,bn:00008918n,bn:00008917n,bn:00008912n,bn:00008911n,bn:00008914n,bn:00008913n,bn:14498794n,bn:00197086n,bn:03893607n,bn:01381809n,bn:00019683n,bn:15819896n,bn:14395851n,bn:13929880n
soprano	bn:13882490n,bn:00072830n,bn:00072831n,bn:00072832n,bn:00283277n
mixed choir	bn:00018665n
choir	bn:15102091n,bn:00018782n,bn:00018665n,bn:00018667n,bn:00401445n,bn:00018666n
quintet	bn:00000119n,bn:02281166n,bn:00345158n,bn:03135280n,bn:00034916n,bn:00065732n,bn:01062830n,bn:00065731n,bn:00065730n
chorus	bn:00570851n,bn:02677378n,bn:01890982n,bn:02070270n,bn:00018782n,bn:00018781n,bn:00711638n,bn:00018784n,bn:16556798n,bn:00018783n,bn:00018665n,bn:00018785n,bn:01482903n,bn:14233761n,bn:03257621n
bass clarinet	bn:00008919n
bassoon	bn:00008942n
quartet	bn:01486412n,bn:03537360n,bn:03392503n,bn:00036106n,bn:01860940n,bn:03468569n,bn:03597361n,bn:02818530n,bn:01412019n,bn:01899937n,bn:00464007n,bn:01480443n,bn:00065610n,bn:14376034n,bn:16884628n,bn:00065519n,bn:00000111n,bn:00065609n,bn:01194351n,bn:03612766n
carlos checa	bn:02351758n
marco melandri	bn:01509878n
casey stoner	bn:03214780n
jorge lorenzo	bn:03417946n
hayden	bn:02916158n,bn:00130145n,bn:00205528n,bn:00184744n,bn:00639942n,bn:00639941n,bn:03877405n,bn:00228754n
loris capirossi	bn:02081464n
colin edwards	bn:02013342n,bn:01525282n,bn:15860585n
sete gibernau	bn:00799368n
rossi	bn:15558370n,bn:02426487n,bn:01159422n,bn:01487891n
nicky hayden	bn:00392265n
stoner	bn:00015287n,bn:02899290n,bn:01414241n,bn:15992353n,bn:03896050n,bn:00049981n
max biaggi	bn:00934361n
valentino rossi	bn:01043019n
biaggi	
escort	bn:03247647n,bn:02585223n,bn:00031573n,bn:00000719n,bn:00025337n,bn:00011781n,bn:00342209n,bn:02948122n,bn:00014813n
ford taurus	bn:00825760n,bn:01050193n,bn:01125982n,bn:01125813n,bn:01125999n,bn:01125885n,bn:01050093n
fusion	bn:14790489n,bn:00036930n,bn:16923406n,bn:02512755n,bn:00036928n,bn:02544720n,bn:01650312n,bn:00036926n,bn:00299199n,bn:01306117n,bn:14583703n,bn:00020155n,bn:03637523n,bn:02750021n,bn:00054268n,bn:02257379n,bn:00036931n,bn:00438184n,bn:01289378n,bn:16277606n,bn:01432889n,bn:15718622n,bn:00036927n,bn:00036929n,bn:15585905n,bn:01267595n,bn:02669427n
honda accord	bn:03001993n,bn:01837230n,bn:01837209n,bn:01852089n,bn:01852101n
corolla	bn:00022783n,bn:02281606n,bn:00917107n
camry	bn:03606178n
camaro	bn:01657420n
taurus	bn:00825760n,bn:01929413n,bn:15202733n,bn:16651902n,bn:03308153n,bn:00500343n,bn:16641395n,bn:00273734n,bn:01818798n,bn:00013780n,bn:00076211n,bn:00013779n,bn:13884826n,bn:01159422n,bn:00003980n,bn:01938402n,bn:01759878n,bn:14562846n
accord	bn:00149994n,bn:17302184n,bn:16230370n,bn:03690749n,bn:00592765n,bn:00450385n,bn:13856772n,bn:00000729n,bn:00000728n,bn:00043029n,bn:00000727n,bn:00768028n,bn:00000726n,bn:16968384n
malibu	bn:03282353n,bn:01687615n,bn:00194869n,bn:02378717n,bn:01723195n
civic	bn:00996429n
